time (UTC),latitude (degrees_north),longitude (degrees_east),TEMP_SBE37_MEAN (degree_C)
2021-08-02 04:30:00+00:00,19.3876304,-65.4374272,28.424
2021-08-02 04:35:00+00:00,19.3876192,-65.43792,28.4113
2021-08-02 04:40:00+00:00,19.3878416,-65.438368,28.4174
2021-08-02 04:45:00+00:00,19.388184,-65.438816,28.434
2021-08-02 04:50:00+00:00,19.3884272,-65.4393216,28.4286
2021-08-02 04:55:00+00:00,19.3885216,-65.4397952,28.4448
2021-08-02 05:00:00+00:00,19.388688,-65.4403072,28.4421
2021-08-02 05:01:00+00:00,19.388728,-65.4403904,28.4421
2021-08-02 05:31:00+00:00,19.3892576,-65.4441792,28.4366
2021-08-02 06:00:00+00:00,19.3899888,-65.4474432,28.4603
2021-08-02 06:05:00+00:00,19.3901072,-65.447968,28.4503
2021-08-02 06:10:00+00:00,19.3902896,-65.4484672,28.4503
2021-08-02 06:15:00+00:00,19.3906016,-65.4489856,28.4525
2021-08-02 06:20:00+00:00,19.3907632,-65.4494912,28.445
2021-08-02 06:25:00+00:00,19.391656,-65.4499968,28.4425
2021-08-02 06:30:00+00:00,19.393016,-65.450208,28.4301
2021-08-02 06:35:00+00:00,19.393648,-65.4503744,28.4328
2021-08-02 06:40:00+00:00,19.3939248,-65.450688,28.4369
2021-08-02 06:45:00+00:00,19.394304,-65.451008,28.4271
2021-08-02 06:50:00+00:00,19.3944736,-65.4514432,28.4326
2021-08-02 06:55:00+00:00,19.3946384,-65.4518976,28.4333
2021-08-02 07:00:00+00:00,19.3949296,-65.4522752,28.4411
2021-08-02 07:05:00+00:00,19.3954208,-65.4526656,28.4304
2021-08-02 07:10:00+00:00,19.396224,-65.4529664,28.4344
2021-08-02 07:15:00+00:00,19.3971248,-65.4532608,28.434
2021-08-02 07:20:00+00:00,19.3980128,-65.4535424,28.4297
2021-08-02 07:25:00+00:00,19.3986464,-65.453888,28.4312
2021-08-02 07:30:00+00:00,19.3992096,-65.4543232,28.4335
2021-08-02 07:35:00+00:00,19.3998592,-65.4547008,28.4195
2021-08-02 07:40:00+00:00,19.4008064,-65.4549632,28.4265
2021-08-02 07:45:00+00:00,19.4016304,-65.4552,28.4218
2021-08-02 07:50:00+00:00,19.4022144,-65.4554496,28.4263
2021-08-02 07:55:00+00:00,19.402736,-65.4557312,28.4265
2021-08-02 08:00:00+00:00,19.4033472,-65.4559552,28.4255
2021-08-02 08:05:00+00:00,19.4037024,-65.4562624,28.4202
2021-08-02 08:10:00+00:00,19.4040496,-65.4565184,28.4258
2021-08-02 08:15:00+00:00,19.4044464,-65.4567744,28.4315
2021-08-02 08:20:00+00:00,19.4047184,-65.4570368,28.4316
2021-08-02 08:25:00+00:00,19.4050768,-65.4572672,28.4307
2021-08-02 08:30:00+00:00,19.405192,-65.4575552,28.4439
2021-08-02 08:35:00+00:00,19.4061152,-65.4577088,28.4352
2021-08-02 08:40:00+00:00,19.4071104,-65.457824,28.4368
2021-08-02 08:45:00+00:00,19.4083648,-65.4579264,28.4415
2021-08-02 08:50:00+00:00,19.409112,-65.458048,28.4377
2021-08-02 08:55:00+00:00,19.410472,-65.4581056,28.4392
2021-08-02 09:00:00+00:00,19.4131312,-65.4581696,28.4467
2021-08-02 09:05:00+00:00,19.4156096,-65.4582848,28.445
2021-08-02 09:10:00+00:00,19.4175856,-65.4583104,28.4464
2021-08-02 09:15:00+00:00,19.4193264,-65.4584192,28.4526
2021-08-02 09:20:00+00:00,19.4208448,-65.4584768,28.4494
2021-08-02 09:25:00+00:00,19.4221488,-65.4585344,28.4583
2021-08-02 09:30:00+00:00,19.4234608,-65.4586112,28.4504
2021-08-02 09:35:00+00:00,19.4244608,-65.4586624,28.4545
2021-08-02 09:40:00+00:00,19.4253536,-65.4587584,28.4485
2021-08-02 09:45:00+00:00,19.4262192,-65.4588544,28.4577
2021-08-02 09:50:00+00:00,19.4270192,-65.4589504,28.4555
2021-08-02 09:55:00+00:00,19.4275648,-65.4590784,28.4584
2021-08-02 10:00:00+00:00,19.428088,-65.4592128,28.4548
2021-08-02 10:05:00+00:00,19.428504,-65.45936,28.46
2021-08-02 10:10:00+00:00,19.4290144,-65.459488,28.4521
2021-08-02 10:15:00+00:00,19.4293936,-65.459648,28.4559
2021-08-02 10:20:00+00:00,19.429688,-65.4598976,28.463
2021-08-02 10:25:00+00:00,19.4301824,-65.460064,28.4609
2021-08-02 10:30:00+00:00,19.4307904,-65.4601728,28.4609
2021-08-02 10:35:00+00:00,19.431552,-65.4602432,28.4637
2021-08-02 10:40:00+00:00,19.4322576,-65.4603328,28.4627
2021-08-02 10:45:00+00:00,19.4329808,-65.4604224,28.4628
2021-08-02 10:50:00+00:00,19.4336912,-65.4605312,28.4644
2021-08-02 10:55:00+00:00,19.434424,-65.460608,28.4546
2021-08-02 11:00:00+00:00,19.4352368,-65.4607424,28.4686
2021-08-02 11:05:00+00:00,19.4362304,-65.4608576,28.4656
2021-08-02 11:10:00+00:00,19.4372192,-65.4609344,28.4708
2021-08-02 11:15:00+00:00,19.4380288,-65.461024,28.4705
2021-08-02 11:20:00+00:00,19.4390048,-65.4611328,28.4733
2021-08-02 11:25:00+00:00,19.4398928,-65.4612544,28.4685
2021-08-02 11:30:00+00:00,19.4408144,-65.4613632,28.4714
2021-08-02 11:35:00+00:00,19.44196,-65.4614464,28.4796
2021-08-02 11:40:00+00:00,19.4430544,-65.461504,28.4807
2021-08-02 11:45:00+00:00,19.4441504,-65.4616064,28.4814
2021-08-02 11:50:00+00:00,19.4451888,-65.4616576,28.4815
2021-08-02 11:55:00+00:00,19.446368,-65.4617664,28.4817
2021-08-02 12:00:00+00:00,19.4474176,-65.4618304,28.485
2021-08-02 12:05:00+00:00,19.4485552,-65.4619264,28.4887
2021-08-02 12:10:00+00:00,19.4495536,-65.4619968,28.4897
2021-08-02 12:15:00+00:00,19.4504848,-65.4620672,28.4929
2021-08-02 12:20:00+00:00,19.4517424,-65.4621632,28.494
2021-08-02 12:25:00+00:00,19.4531728,-65.462304,28.4925
2021-08-02 12:30:00+00:00,19.4544096,-65.4623552,28.4948
2021-08-02 12:35:00+00:00,19.4556368,-65.4624,28.4984
2021-08-02 12:40:00+00:00,19.456952,-65.4624384,28.5013
2021-08-02 12:45:00+00:00,19.4582624,-65.4625152,28.5004
2021-08-02 12:50:00+00:00,19.4594976,-65.4626112,28.5053
2021-08-02 12:55:00+00:00,19.460696,-65.4627392,28.5066
2021-08-02 13:00:00+00:00,19.4618528,-65.4628672,28.5157
2021-08-02 13:05:00+00:00,19.4628864,-65.4629504,28.512
2021-08-02 13:10:00+00:00,19.4636624,-65.4630784,28.5142
2021-08-02 13:15:00+00:00,19.464664,-65.463232,28.5202
2021-08-02 13:20:00+00:00,19.46568,-65.4633152,28.5213
2021-08-02 13:25:00+00:00,19.4667136,-65.4635072,28.5195
2021-08-02 13:30:00+00:00,19.4686592,-65.4636352,28.5278
2021-08-02 13:35:00+00:00,19.4704112,-65.4637376,28.5248
2021-08-02 13:40:00+00:00,19.4719456,-65.463872,28.5289
2021-08-02 13:45:00+00:00,19.4731264,-65.4640768,28.5306
2021-08-02 13:50:00+00:00,19.4742336,-65.4642432,28.5461
2021-08-02 13:55:00+00:00,19.4752192,-65.4644608,28.5445
2021-08-02 14:00:00+00:00,19.476272,-65.4646336,28.5459
2021-08-02 14:05:00+00:00,19.4775904,-65.4647808,28.5502
2021-08-02 14:10:00+00:00,19.4787888,-65.464928,28.5544
2021-08-02 14:15:00+00:00,19.480256,-65.4650304,28.5655
2021-08-02 14:20:00+00:00,19.4817136,-65.4651456,28.5754
2021-08-02 14:25:00+00:00,19.4830048,-65.4653376,28.5712
2021-08-02 14:30:00+00:00,19.4842976,-65.4655296,28.5659
2021-08-02 14:35:00+00:00,19.4857536,-65.4657472,28.584
2021-08-02 14:40:00+00:00,19.4871616,-65.4659264,28.5912
2021-08-02 14:45:00+00:00,19.4885104,-65.4661696,28.6002
2021-08-02 14:50:00+00:00,19.4897152,-65.466304,28.6021
2021-08-02 14:55:00+00:00,19.4908336,-65.4665408,28.6022
2021-08-02 15:00:00+00:00,19.491784,-65.4666944,28.5976
2021-08-02 15:05:00+00:00,19.49276,-65.4668544,28.6165
2021-08-02 15:10:00+00:00,19.4938064,-65.4670528,28.6222
2021-08-02 15:15:00+00:00,19.494928,-65.4672512,28.6214
2021-08-02 15:20:00+00:00,19.4960496,-65.4674688,28.6216
2021-08-02 15:25:00+00:00,19.497048,-65.4676928,28.6316
2021-08-02 15:30:00+00:00,19.4980336,-65.4679104,28.642
2021-08-02 15:35:00+00:00,19.4992432,-65.4681152,28.6559
2021-08-02 15:40:00+00:00,19.5002256,-65.46832,28.6473
2021-08-02 15:45:00+00:00,19.5011632,-65.4685824,28.671
2021-08-02 15:50:00+00:00,19.5022464,-65.4688,28.6457
2021-08-02 15:55:00+00:00,19.5033504,-65.4690176,28.6587
2021-08-02 16:00:00+00:00,19.504368,-65.4693376,28.6726
2021-08-02 16:05:00+00:00,19.5051632,-65.4697088,28.6703
2021-08-02 16:10:00+00:00,19.50592,-65.47008,28.695
2021-08-02 16:15:00+00:00,19.507096,-65.4703936,28.6973
2021-08-02 16:20:00+00:00,19.5082176,-65.4706688,28.7005
2021-08-02 16:25:00+00:00,19.5094032,-65.4710464,28.7108
2021-08-02 16:30:00+00:00,19.510288,-65.4714368,28.7068
2021-08-02 16:35:00+00:00,19.511192,-65.471776,28.7082
2021-08-02 16:40:00+00:00,19.5124832,-65.472128,28.7054
2021-08-02 16:45:00+00:00,19.5135824,-65.4724544,28.6966
2021-08-02 16:50:00+00:00,19.5146848,-65.4728064,28.6969
2021-08-02 16:55:00+00:00,19.515584,-65.4731456,28.7126
2021-08-02 17:00:00+00:00,19.5171536,-65.4734656,28.7235
2021-08-02 17:05:00+00:00,19.5189888,-65.47376,28.7233
2021-08-02 17:10:00+00:00,19.520896,-65.4740096,28.7042
2021-08-02 17:15:00+00:00,19.5226384,-65.474304,28.7305
2021-08-02 17:20:00+00:00,19.5242688,-65.4745664,28.7175
2021-08-02 17:25:00+00:00,19.5260352,-65.4748224,28.719
2021-08-02 17:30:00+00:00,19.5277776,-65.4750656,28.7479
2021-08-02 17:35:00+00:00,19.5295984,-65.4752768,28.7468
2021-08-02 17:40:00+00:00,19.53156,-65.4754752,28.7427
2021-08-02 17:45:00+00:00,19.5333824,-65.4756992,28.7391
2021-08-02 17:50:00+00:00,19.5355408,-65.4759296,28.7457
2021-08-02 17:55:00+00:00,19.5376256,-65.476128,28.7278
2021-08-02 18:00:00+00:00,19.5396896,-65.4763712,28.7279
2021-08-02 18:05:00+00:00,19.5409024,-65.4766144,28.725
2021-08-02 18:10:00+00:00,19.5428656,-65.4769536,28.7098
2021-08-02 18:15:00+00:00,19.5449136,-65.4771904,28.7158
2021-08-02 18:20:00+00:00,19.5467872,-65.4773888,28.699
2021-08-02 18:25:00+00:00,19.5484976,-65.4776576,28.7044
