"basisOfRecord","organismID","eventDate","occurrenceID","decimalLatitude","decimalLongitude","geodeticDatum","scientificName","scientificNameId","eventID","kingdom","taxonRank","coordinateUncertaintyInMeters"
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T02:01:12Z","2020-02-03T02:01:12Z_0_Species",41.3808,-70.1806,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",408
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T02:10:45Z","2020-02-03T02:10:45Z_0_Species",41.3808,-70.1804,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",3290
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T08:03:07Z","2020-02-03T08:03:07Z_0_Species",41.3829,-70.208,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",5941
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T09:11:10Z","2020-02-03T09:11:10Z_0_Species",41.3638,-70.1943,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",237
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T09:35:25Z","2020-02-03T09:35:25Z_0_Species",41.3598,-70.1931,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",8671
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T12:23:36Z","2020-02-03T12:23:36Z_0_Species",41.353,-70.1938,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2849
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T12:31:46Z","2020-02-03T12:31:46Z_0_Species",41.3546,-70.1996,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",17359
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T12:41:03Z","2020-02-03T12:41:03Z_0_Species",41.3549,-70.2265,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",936
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T12:45:08Z","2020-02-03T12:45:08Z_0_Species",41.3539,-70.2043,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",5789
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T12:49:20Z","2020-02-03T12:49:20Z_0_Species",41.3468,-70.2288,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1380
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T14:07:39Z","2020-02-03T14:07:39Z_0_Species",41.3599,-70.2309,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",6544
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T14:23:49Z","2020-02-03T14:23:49Z_0_Species",41.3586,-70.2367,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2641
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T14:29:07Z","2020-02-03T14:29:07Z_0_Species",41.3661,-70.2698,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2000
